Multihop,Obfuscation,Exit location,Exit server,Entry location,Entry server,Distance (km)
Always,LWO,"Albania, Tirana",al-tia-wg-001,"Austria, Vienna",at-vie-wg-002,812
Always,LWO,"Albania, Tirana",al-tia-wg-001,"Austria, Vienna",at-vie-wg-001,812
Always,LWO,"Albania, Tirana",al-tia-wg-001,"Austria, Vienna",at-vie-wg-002,812
Always,LWO,"Albania, Tirana",al-tia-wg-001,"Austria, Vienna",at-vie-wg-002,812
Always,LWO,"Albania, Tirana",al-tia-wg-001,"Albania, Tirana",al-tia-wg-004,0
Always,LWO,"Albania, Tirana",al-tia-wg-004,"Albania, Tirana",al-tia-wg-001,0
Always,LWO,"Albania, Tirana",al-tia-wg-004,"Austria, Vienna",at-vie-wg-002,812
Always,LWO,"Albania, Tirana",al-tia-wg-004,"Austria, Vienna",at-vie-wg-003,812
Always,LWO,"Albania, Tirana",al-tia-wg-004,"Austria, Vienna",at-vie-wg-001,812
Always,LWO,"Albania, Tirana",al-tia-wg-004,"Austria, Vienna",at-vie-wg-003,812
Always,LWO,"Argentina, Buenos Aires",ar-bue-wg-001,"USA, Los Angeles, CA",us-lax-wg-203,9826
Always,LWO,"Argentina, Buenos Aires",ar-bue-wg-001,"Mexico, Queretaro",mx-qro-wg-001,7548
Always,LWO,"Argentina, Buenos Aires",ar-bue-wg-001,"Canada, Toronto",ca-tor-wg-201,8942
Always,LWO,"Argentina, Buenos Aires",ar-bue-wg-001,"Mexico, Queretaro",mx-qro-wg-001,7548
Always,LWO,"Argentina, Buenos Aires",ar-bue-wg-001,"USA, Los Angeles, CA",us-lax-wg-203,9826
Always,LWO,"Argentina, Buenos Aires",ar-bue-wg-002,"USA, Los Angeles, CA",us-lax-wg-203,9826
Always,LWO,"Argentina, Buenos Aires",ar-bue-wg-002,"Canada, Toronto",ca-tor-wg-201,8942
Always,LWO,"Argentina, Buenos Aires",ar-bue-wg-002,"Mexico, Queretaro",mx-qro-wg-001,7548
Always,LWO,"Argentina, Buenos Aires",ar-bue-wg-002,"Mexico, Queretaro",mx-qro-wg-001,7548
Always,LWO,"Argentina, Buenos Aires",ar-bue-wg-002,"Canada, Toronto",ca-tor-wg-201,8942
Always,LWO,"Austria, Vienna",at-vie-wg-001,"Austria, Vienna",at-vie-wg-003,0
Always,LWO,"Austria, Vienna",at-vie-wg-001,"Austria, Vienna",at-vie-wg-002,0
Always,LWO,"Austria, Vienna",at-vie-wg-001,"Austria, Vienna",at-vie-wg-002,0
Always,LWO,"Austria, Vienna",at-vie-wg-001,"Austria, Vienna",at-vie-wg-003,0
Always,LWO,"Austria, Vienna",at-vie-wg-001,"Austria, Vienna",at-vie-wg-003,0
Always,LWO,"Austria, Vienna",at-vie-wg-002,"Austria, Vienna",at-vie-wg-001,0
Always,LWO,"Austria, Vienna",at-vie-wg-002,"Austria, Vienna",at-vie-wg-001,0
Always,LWO,"Austria, Vienna",at-vie-wg-002,"Austria, Vienna",at-vie-wg-001,0
Always,LWO,"Austria, Vienna",at-vie-wg-002,"Austria, Vienna",at-vie-wg-001,0
Always,LWO,"Austria, Vienna",at-vie-wg-002,"Austria, Vienna",at-vie-wg-001,0
Always,LWO,"Austria, Vienna",at-vie-wg-003,"Austria, Vienna",at-vie-wg-001,0
Always,LWO,"Austria, Vienna",at-vie-wg-003,"Austria, Vienna",at-vie-wg-001,0
Always,LWO,"Austria, Vienna",at-vie-wg-003,"Austria, Vienna",at-vie-wg-001,0
Always,LWO,"Austria, Vienna",at-vie-wg-003,"Austria, Vienna",at-vie-wg-002,0
Always,LWO,"Austria, Vienna",at-vie-wg-003,"Austria, Vienna",at-vie-wg-002,0
Always,LWO,"Austria, Vienna",at-vie-wg-101,"Austria, Vienna",at-vie-wg-003,0
Always,LWO,"Austria, Vienna",at-vie-wg-101,"Austria, Vienna",at-vie-wg-001,0
Always,LWO,"Austria, Vienna",at-vie-wg-101,"Austria, Vienna",at-vie-wg-003,0
Always,LWO,"Austria, Vienna",at-vie-wg-101,"Austria, Vienna",at-vie-wg-003,0
Always,LWO,"Austria, Vienna",at-vie-wg-101,"Austria, Vienna",at-vie-wg-003,0
Always,LWO,"Austria, Vienna",at-vie-wg-102,"Austria, Vienna",at-vie-wg-003,0
Always,LWO,"Austria, Vienna",at-vie-wg-102,"Austria, Vienna",at-vie-wg-003,0
Always,LWO,"Austria, Vienna",at-vie-wg-102,"Austria, Vienna",at-vie-wg-002,0
Always,LWO,"Austria, Vienna",at-vie-wg-102,"Austria, Vienna",at-vie-wg-003,0
Always,LWO,"Austria, Vienna",at-vie-wg-102,"Austria, Vienna",at-vie-wg-002,0
Always,LWO,"Australia, Adelaide",au-adl-wg-301,"Mexico, Queretaro",mx-qro-wg-001,14086
Always,LWO,"Australia, Adelaide",au-adl-wg-301,"USA, Los Angeles, CA",us-lax-wg-203,13166
Always,LWO,"Australia, Adelaide",au-adl-wg-301,"USA, Los Angeles, CA",us-lax-wg-203,13166
Always,LWO,"Australia, Adelaide",au-adl-wg-301,"USA, Los Angeles, CA",us-lax-wg-203,13166
Always,LWO,"Australia, Adelaide",au-adl-wg-301,"USA, Los Angeles, CA",us-lax-wg-203,13166
Always,LWO,"Australia, Adelaide",au-adl-wg-302,"Albania, Tirana",al-tia-wg-001,14728
Always,LWO,"Australia, Adelaide",au-adl-wg-302,"USA, Los Angeles, CA",us-lax-wg-203,13166
Always,LWO,"Australia, Adelaide",au-adl-wg-302,"USA, Los Angeles, CA",us-lax-wg-203,13166
Always,LWO,"Australia, Adelaide",au-adl-wg-302,"USA, Los Angeles, CA",us-lax-wg-203,13166
Always,LWO,"Australia, Adelaide",au-adl-wg-302,"USA, Los Angeles, CA",us-lax-wg-203,13166
Always,LWO,"Australia, Adelaide",au-adl-wg-303,"Albania, Tirana",al-tia-wg-004,14728
Always,LWO,"Australia, Adelaide",au-adl-wg-303,"USA, Los Angeles, CA",us-lax-wg-203,13166
Always,LWO,"Australia, Adelaide",au-adl-wg-303,"Mexico, Queretaro",mx-qro-wg-001,14086
Always,LWO,"Australia, Adelaide",au-adl-wg-303,"Mexico, Queretaro",mx-qro-wg-001,14086
Always,LWO,"Australia, Adelaide",au-adl-wg-303,"USA, Los Angeles, CA",us-lax-wg-203,13166
Always,LWO,"Australia, Brisbane",au-bne-wg-301,"Mexico, Queretaro",mx-qro-wg-001,12628
Always,LWO,"Australia, Brisbane",au-bne-wg-301,"USA, Los Angeles, CA",us-lax-wg-203,11568
Always,LWO,"Australia, Brisbane",au-bne-wg-301,"USA, Los Angeles, CA",us-lax-wg-203,11568
Always,LWO,"Australia, Brisbane",au-bne-wg-301,"USA, Los Angeles, CA",us-lax-wg-203,11568
Always,LWO,"Australia, Brisbane",au-bne-wg-301,"USA, Los Angeles, CA",us-lax-wg-203,11568
Always,LWO,"Australia, Brisbane",au-bne-wg-302,"USA, Los Angeles, CA",us-lax-wg-203,11568
Always,LWO,"Australia, Brisbane",au-bne-wg-302,"USA, Los Angeles, CA",us-lax-wg-203,11568
Always,LWO,"Australia, Brisbane",au-bne-wg-302,"Mexico, Queretaro",mx-qro-wg-001,12628
Always,LWO,"Australia, Brisbane",au-bne-wg-302,"USA, Los Angeles, CA",us-lax-wg-203,11568
Always,LWO,"Australia, Brisbane",au-bne-wg-302,"USA, Los Angeles, CA",us-lax-wg-203,11568
Always,LWO,"Australia, Brisbane",au-bne-wg-303,"USA, Los Angeles, CA",us-lax-wg-203,11568
Always,LWO,"Australia, Brisbane",au-bne-wg-303,"Mexico, Queretaro",mx-qro-wg-001,12628
Always,LWO,"Australia, Brisbane",au-bne-wg-303,"USA, Los Angeles, CA",us-lax-wg-203,11568
Always,LWO,"Australia, Brisbane",au-bne-wg-303,"Mexico, Queretaro",mx-qro-wg-001,12628
Always,LWO,"Australia, Brisbane",au-bne-wg-303,"Mexico, Queretaro",mx-qro-wg-001,12628
Always,LWO,"Australia, Melbourne",au-mel-wg-401,"USA, Los Angeles, CA",us-lax-wg-203,12779
Always,LWO,"Australia, Melbourne",au-mel-wg-401,"Mexico, Queretaro",mx-qro-wg-001,13527
Always,LWO,"Australia, Melbourne",au-mel-wg-401,"USA, Los Angeles, CA",us-lax-wg-203,12779
Always,LWO,"Australia, Melbourne",au-mel-wg-401,"USA, Los Angeles, CA",us-lax-wg-203,12779
Always,LWO,"Australia, Melbourne",au-mel-wg-401,"USA, Los Angeles, CA",us-lax-wg-203,12779
Always,LWO,"Australia, Melbourne",au-mel-wg-403,"Mexico, Queretaro",mx-qro-wg-001,13527
Always,LWO,"Australia, Melbourne",au-mel-wg-403,"Mexico, Queretaro",mx-qro-wg-001,13527
Always,LWO,"Australia, Melbourne",au-mel-wg-403,"USA, Los Angeles, CA",us-lax-wg-203,12779
Always,LWO,"Australia, Melbourne",au-mel-wg-403,"Mexico, Queretaro",mx-qro-wg-001,13527
Always,LWO,"Australia, Melbourne",au-mel-wg-403,"USA, Los Angeles, CA",us-lax-wg-203,12779
Always,LWO,"Australia, Perth",au-per-wg-301,"Albania, Tirana",al-tia-wg-001,12748
Always,LWO,"Australia, Perth",au-per-wg-301,"Albania, Tirana",al-tia-wg-004,12748
Always,LWO,"Australia, Perth",au-per-wg-301,"Albania, Tirana",al-tia-wg-001,12748
Always,LWO,"Australia, Perth",au-per-wg-301,"Albania, Tirana",al-tia-wg-004,12748
Always,LWO,"Australia, Perth",au-per-wg-301,"Albania, Tirana",al-tia-wg-001,12748
Always,LWO,"Australia, Perth",au-per-wg-302,"Albania, Tirana",al-tia-wg-001,12748
Always,LWO,"Australia, Perth",au-per-wg-302,"Albania, Tirana",al-tia-wg-004,12748
Always,LWO,"Australia, Perth",au-per-wg-302,"Albania, Tirana",al-tia-wg-001,12748
Always,LWO,"Australia, Perth",au-per-wg-302,"Albania, Tirana",al-tia-wg-001,12748
Always,LWO,"Australia, Perth",au-per-wg-302,"Albania, Tirana",al-tia-wg-001,12748
Always,LWO,"Australia, Sydney",au-syd-wg-001,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-001,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-001,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-001,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-001,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-002,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-002,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-002,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-002,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-002,"USA, Los Angeles, CA",us-lax-wg-203,12077
Always,LWO,"Australia, Sydney",au-syd-wg-003,"Mexico, Queretaro",mx-qro-wg-001,12924
Always,LWO,"Australia, Sydney",au-syd-wg-003,"USA, Los Angeles, CA",us-lax-wg-203,12077
